date,rainfall,gwl,api
29-07-1993,0,10.58,48.96
30-07-1993,0,10.58,48.19
31-07-1993,0,10.58,47.42
01-08-1993,0,10.58,46.66
02-08-1993,0,10.58,45.89
03-08-1993,0,10.58,45.12
04-08-1993,0,10.58,44.36
05-08-1993,0,10.59,43.59
06-08-1993,0,10.59,42.82
07-08-1993,0,10.59,42.06
08-08-1993,0,10.59,41.29
09-08-1993,0,10.59,40.52
10-08-1993,0,10.59,39.76
11-08-1993,0,10.59,38.99
12-08-1993,0,10.59,38.22
13-08-1993,0,10.59,37.46
14-08-1993,0,10.59,36.69
15-08-1993,0,10.6,35.92
16-08-1993,0,10.6,35.16
17-08-1993,0,10.6,34.39
18-08-1993,0,10.6,33.62
19-08-1993,0,10.6,32.86
20-08-1993,1,10.63,33.1
21-08-1993,0,10.36,32.32
22-08-1993,0,10.09,31.54
23-08-1993,0,9.82,30.77
24-08-1993,0,9.54,29.99
25-08-1993,0,9.27,29.21
26-08-1993,0,9,28.43
27-08-1993,0,8.73,27.66
28-08-1993,0,8.46,26.88
29-08-1993,0,8.19,26.1
30-08-1993,0,7.92,25.32
31-08-1993,0,7.65,24.54
01-09-1993,0,7.37,23.77
02-09-1993,0,7.1,22.99
03-09-1993,0,6.83,22.19
04-09-1993,0,6.56,21.43
05-09-1993,24,7.71,44.94
06-09-1993,29,7.53,73.24
07-09-1993,8,7.93,79.99
08-09-1993,18,8.3,96.76
09-09-1993,0,8.24,95.12
10-09-1993,5,8.38,98.54
11-09-1993,0,8.41,96.86
12-09-1993,17,8.37,112.36
13-09-1993,2,8.46,112.47
14-09-1993,4,8.45,114.64
15-09-1993,0,8.53,112.73
16-09-1993,3,8.56,113.86
17-09-1993,19,8.62,131.12
18-09-1993,5,8.49,134.02
19-09-1993,1,8.57,132.82
20-09-1993,37,8.23,168.01
21-09-1993,60,8.15,225.81
22-09-1993,61,6.81,284.42
23-09-1993,5,7.5,285.73
24-09-1993,6,8.42,288
25-09-1993,3,8.29,287.17
26-09-1993,10,8.42,293.38
27-09-1993,7,8.4,296.44
28-09-1993,4,8.47,296.4
29-09-1993,22,8.4,314.51
30-09-1993,39,7.91,349.57
01-10-1993,19,7.93,363.97
02-10-1993,21,7.98,380.18
03-10-1993,0,7.98,374.92
04-10-1993,0,7.98,369.5
05-10-1993,0,7.99,364.41
06-10-1993,0,7.99,359.32
07-10-1993,0,7.99,354.23
08-10-1993,0,7.99,348.83
09-10-1993,0,7.99,344.06
10-10-1993,0,7.99,339.28
11-10-1993,0,8,334.5
