date,rainfall,gwl,api
01/06/2021,43,8.38,0.0
02/06/2021,2,8.45,0.0
03/06/2021,0,8.66,0.0
04/06/2021,27,8.5,0.0
05/06/2021,4,8.73,0.0
06/06/2021,23,8.56,0.0
07/06/2021,0,8.63,0.0
08/06/2021,0,8.68,0.0
09/06/2021,6,8.73,0.0
10/06/2021,34,8.67,0.0
11/06/2021,20,8.6,0.0
12/06/2021,23,8.52,0.0
13/06/2021,41,8.05,0.0
14/06/2021,68,7.13,0.0
15/06/2021,31,7.33,0.0
16/06/2021,34,7.68,0.0
17/06/2021,12,8.15,0.0
18/06/2021,7,8.25,0.0
19/06/2021,2,8.45,0.0
20/06/2021,1,8.6,0.0
21/06/2021,5,8.75,0.0
22/06/2021,0,8.78,0.0
23/06/2021,2,8.76,0.0
24/06/2021,84,7.8,0.0
25/06/2021,0,8.14,0.0
26/06/2021,24,8.3,0.0
27/06/2021,11,8.48,0.0
28/06/2021,0,8.6,0.0
29/06/2021,0,8.75,0.0
30/06/2021,0,8.7,0.0
01/07/2021,5,8.73,0.0
02/07/2021,17,8.7,0.0
03/07/2021,0,8.74,0.0
04/07/2021,3,8.79,0.0
05/07/2021,1,8.9,0.0
06/07/2021,19,8.84,0.0
07/07/2021,0,8.87,0.0
08/07/2021,0,8.89,0.0
09/07/2021,31,8.71,0.0
10/07/2021,87,8.6,0.0
11/07/2021,106,6.53,0.0
12/07/2021,8,7.43,0.0
13/07/2021,58,7.73,0.0
14/07/2021,54,7.28,0.0
15/07/2021,21,7.93,0.0
16/07/2021,104,6.73,0.0
17/07/2021,55,6.33,0.0
18/07/2021,26,7.33,0.0
19/07/2021,14,8.05,0.0
20/07/2021,6,8.25,0.0
21/07/2021,10,8.61,0.0
22/07/2021,24,8.37,0.0
23/07/2021,21,8.49,0.0
24/07/2021,16,8.5,0.0
25/07/2021,38,8.2,0.0
26/07/2021,11,8.3,0.0
27/07/2021,15,8.55,0.0
28/07/2021,1,8.58,0.0
29/07/2021,10,8.67,0.0
30/07/2021,3,8.77,0.0
31/07/2021,3,8.78,0.0
01/08/2021,5,8.83,0.0
02/08/2021,1,8.87,0.0
03/08/2021,4,8.83,0.0
04/08/2021,5,8.88,0.0
05/08/2021,1,8.98,0.0
06/08/2021,45,8.65,0.0
07/08/2021,109,6.25,0.0
08/08/2021,22,7.15,0.0
09/08/2021,0,8.05,0.0
10/08/2021,26,8.25,0.0
11/08/2021,0,8.35,0.0
12/08/2021,3,8.65,0.0
13/08/2021,0,8.57,0.0
14/08/2021,7,8.65,0.0
15/08/2021,1,8.68,0.0
16/08/2021,4,8.65,0.0
17/08/2021,6,8.7,0.0
18/08/2021,10,8.65,0.0
19/08/2021,2,8.68,0.0
20/08/2021,1,8.71,0.0
21/08/2021,0,8.85,0.0
22/08/2021,0,8.88,0.0
23/08/2021,3,8.85,0.0
24/08/2021,0,8.84,0.0
25/08/2021,6,8.89,0.0
26/08/2021,14,8.91,0.0
27/08/2021,91,7.41,0.0
28/08/2021,18,7.85,0.0
29/08/2021,44,7.39,0.0
30/08/2021,34,7.55,864.82
31/08/2021,4,8.18,850.07
01/09/2021,13,8.52,844.41
02/09/2021,6,8.55,831.23
03/09/2021,27,8.52,839.78
04/09/2021,2,8.45,822.58
05/09/2021,4,8.6,807.89
06/09/2021,3,8.68,792.14
07/09/2021,25,8.48,798.54
08/09/2021,1,8.53,780.16
09/09/2021,0,8.61,761.28
10/09/2021,0,8.7,742.59
11/09/2021,4,8.87,728.0
12/09/2021,6,8.89,715.54
13/09/2021,33,8.73,731.49
14/09/2021,14,8.62,728.17
15/09/2021,0,8.69,711.16
16/09/2021,7,8.74,701.41
17/09/2021,61,8.05,746.32
18/09/2021,30,8.25,759.24
19/09/2021,0,8.44,741.47
20/09/2021,0,8.73,723.8
21/09/2021,0,8.75,706.11
22/09/2021,0,8.78,687.53
23/09/2021,0,8.81,670.82
24/09/2021,0,8.84,653.84
25/09/2021,0,8.86,637.28
26/09/2021,0,8.89,620.96
27/09/2021,41,8.92,646.09
28/09/2021,31,8.25,660.66
29/09/2021,11,8.6,654.6
30/09/2021,4,8.71,641.27
01/10/2021,1,8.82,625.23
02/10/2021,3,8.84,611.18
03/10/2021,42,8.37,636.58
04/10/2021,5,8.58,623.91
05/10/2021,5,8.7,611.61
06/10/2021,0,8.54,594.2
07/10/2021,0,8.38,576.44
08/10/2021,0,8.22,558.41
09/10/2021,0,8.06,541.13
10/10/2021,0,7.9,526.12
11/10/2021,0,7.74,510.64
12/10/2021,59,7.58,555.51
13/10/2021,23,7.48,564.29
14/10/2021,11,8.28,559.99
15/10/2021,0,8.59,546.14
16/10/2021,4,8.67,537.28
17/10/2021,73,7.76,598.56
18/10/2021,106,6.13,692.63
19/10/2021,11,7.24,689.5
20/10/2021,0,8.25,675.08
21/10/2021,30,8.28,691.29
22/10/2021,1,8.53,678.13
23/10/2021,80,7.45,744.78
24/10/2021,5,8.03,735.42
25/10/2021,0,8.54,721.03
26/10/2021,34,8.3,741.34
27/10/2021,2,8.52,728.83
28/10/2021,9,8.63,723.57
29/10/2021,1,8.82,710.14
30/10/2021,1,8.86,696.72
31/10/2021,1,8.87,683.39
01/11/2021,8,8.9,677.1
02/11/2021,55,8.21,718.28
03/11/2021,50,7.75,753.89
04/11/2021,1,8.28,738.92
05/11/2021,2,8.66,724.74
06/11/2021,0,8.82,710.7
07/11/2021,1,8.89,698.16
08/11/2021,0,8.84,684.3
09/11/2021,3,8.9,674.06
10/11/2021,0,8.96,660.71
11/11/2021,4,8.95,651.48
12/11/2021,51,8.78,689.64
13/11/2021,35,8.28,711.21
14/11/2021,160,5.03,858.76
15/11/2021,9,6.55,851.87
16/11/2021,33,7.47,869.17
17/11/2021,0,8.42,852.93
18/11/2021,0,8.67,836.73
19/11/2021,13,8.75,833.7
20/11/2021,9,8.73,826.48
21/11/2021,0,8.83,810.02
22/11/2021,0,8.9,793.63
23/11/2021,0,8.89,777.18
24/11/2021,15,8.85,775.87
25/11/2021,0,8.93,758.52
26/11/2021,7,8.94,750.08
27/11/2021,0,8.97,734.39
28/11/2021,1,8.72,720.31
29/11/2021,17,8.47,723.11
30/11/2021,0,8.4,708.48
01/12/2021,11,8.44,705.19
02/12/2021,2,8.49,692.51
03/12/2021,0,8.53,678.37
04/12/2021,0,8.65,664.22
05/12/2021,4,8.62,654.18
06/12/2021,1,8.72,640.84
07/12/2021,0,8.65,627.03
08/12/2021,0,8.7,613.24
09/12/2021,0,8.67,599.46
10/12/2021,3,8.69,588.66
11/12/2021,0,8.73,574.81
12/12/2021,0,8.75,560.73
13/12/2021,0,8.8,547.23
14/12/2021,0,8.88,534.04
15/12/2021,0,8.81,520.78
16/12/2021,0,8.83,506.99
17/12/2021,0,8.84,494.22
18/12/2021,0,8.79,482.12
19/12/2021,0,8.83,470.02
20/12/2021,0,8.88,457.92
21/12/2021,0,8.95,445.82
22/12/2021,0,9.01,433.72
23/12/2021,0,9.04,421.62
24/12/2021,0,9.12,409.52
25/12/2021,0,9.11,397.42
26/12/2021,0,9.14,384.87
27/12/2021,0,9.18,372.88
28/12/2021,0,9.11,361.46
29/12/2021,0,9.2,350.23
30/12/2021,0,9.19,339.09
31/12/2021,0,9.24,327.93
01/01/2022,0,9.31,316.38
02/01/2022,0,9.33,305.7
03/01/2022,0,9.34,295.08
04/01/2022,0,9.36,284.57
05/01/2022,0,9.39,274.06
06/01/2022,0,9.35,263.54
07/01/2022,0,9.41,253.03
08/01/2022,0,9.38,242.52
09/01/2022,0,9.44,232.01
10/01/2022,0,9.49,220.84
11/01/2022,0,9.53,210.73
12/01/2022,0,9.48,201.01
13/01/2022,0,9.5,191.53
14/01/2022,0,9.42,182.01
15/01/2022,0,9.49,171.77
16/01/2022,0,9.5,161.97
17/01/2022,0,9.56,154.4
18/01/2022,0,9.45,147.08
19/01/2022,0,9.49,139.42
20/01/2022,0,9.52,132.42
21/01/2022,0,9.54,124.56
22/01/2022,0,9.52,118.41
23/01/2022,0,9.66,112.38
24/01/2022,0,9.6,105.97
25/01/2022,0,9.52,100.29
26/01/2022,0,9.54,94.56
27/01/2022,0,9.46,89.01
28/01/2022,0,9.53,83.48
29/01/2022,0,9.53,77.96
30/01/2022,0,9.53,72.37
31/01/2022,0,9.53,66.34
01/02/2022,0,9.53,60.99
02/02/2022,0,9.53,56.73
03/02/2022,0,9.53,52.48
04/02/2022,0,9.53,48.27
05/02/2022,0,9.53,44.04
06/02/2022,0,9.54,39.84
07/02/2022,0,9.54,35.61
