Station_ID,Station,River_Basin,Department,MDDL,FRL,FRL(ft),SCL,MWL,FRS[G],FRS[L],Full_Reservoir_Storage,RWL,OWL,BWL,Maximum_Water_Depth(m),Station_Alt,Level_Offset(m)
RSVR4667,Aliyar,,TANGEDCO,,320,,,,109.43,,,,,,36.58,,
RSVR5145,Anayirangal,,KSEB,1188,1207.01,,,,,48.97,,,,,,"Aanairangal,Anayirangal,Anayirankal",
,Aruvikkara,,,,,,,,,,,,,,,,
RSVR6010,Azhutha diversion,,,,,,,,,,,,,,,,
RSVR6015,Banasurasagar,,KSEB,750.5,775.6,,,775.6,,,,775.1,774.6,774.1,,"Banasura,Banasurasagar",
,Bhakthavalsalam,,,,,,,,,,,,,,,,
RSVR5141,Bhoothathankettu,,IDRB,,34.95,,,34.95,169.79,,,,,,,,
RSVR5176,Chimoni,,IDRB,,,,,,,,,,,,,,
RSVR5147,Chulliyar,,IDRB,,,,,,,,,,,,,,
RSVR6011,Erattayar Diversion,,KSEB,,,,,,,,,,,,,"Erattayar,Irattayar",
RSVR5165,Gavi,,,,,,,,,,,,,,,,
RSVR5162,Idamalayar,,KSEB,115,169,,161,171.2,,1017.8,,168.5,168,167.5,,"Edamalayar,Idamalayar",
RSVR5154,Idukki,,KSEB,694.94,732.43,,723.29,734,,1460,,732.1,731.8,731.2,,Idukki,
RSVR5148,Kakki,,KSEB,908.3,981.46,,975.36,982.16,,446.54,,980.96,980.46,979.96,,"Kakki Anathode,Kakki Anathodu",
RSVR5163,Kallada,,IDRB,,,,,,,,,,,,,,
RSVR6008,Kallar Diversion,,KSEB,,,,,,,,,,,,,Kallar,
RSVR5139,Kallarkutty,Periyar,KSEB,445,456.59,,450.19,456.9,,5.56,,455,,,,"Kallarkutti,Kallarkutty",
RSVR5159,Kanjirappuzha,,IDRB,,,,,,,,,,,,,,
,Karapuzha,,IDRB,,,,,,,,,,,,,,
RSVR5128,Kundala,,KSEB,1735.84,1758.69,,1756.86,1759.3,,7.79,,1757,,,,Kundala,
RSVR6014,Kuthungal Weir,,,,,,,,,,,,,,,,
RSVR5152,Kuttiady,,KSEB,,,,751.64,758.07,,,,757.5,756.5,,,Kuttiyadi,
RSVR6009,Kuttiyar Diversion,,,,,,,,,,,,,,,,
RSVR4717,Lower_Nirar,Chalakudy,,,,,,,,,,,,,,,
RSVR6013,Lower_Periyar,,KSEB,237.74,253,,244,256,,4.55,,252,,,,Lower Periyar,
RSVR5130,Malampuzha,,IDRB,,,,,,,,,,,,,,
RSVR5175,Malankara,,IDRB,,,,,,,,,,,,,,
RSVR5146,Mangalam,,IDRB,,,,,,,,,,,,,,
,Maniyar,,IDRB,,,,,,,,,,,,,,
RSVR5134,Matupetty,,KSEB,1554.48,1599.59,,1594.71,1599.59,,55.22,,1598,1597,,,"Maduppetty,Mattupetti,Madupetty",
RSVR5138,Meenkara,,IDRB,,,,,,,,,,,,,,
,Moolathara,,IDRB,,,,,,,,,,,,,,
RSVR5166,Moozhiyar,,KSEB,181.36,192.63,,186.53,192.94,,1.16,,190,,,,"Moozhiyar,Muzhiyar",
RSVR6004,Mullaperiyar,,TANGEDCO,,867.4,152,,,443.55,173,299.31,,,,46.33,,821.0704
RSVR6012,Munnar Head Works,,,,,,,,,,,,,,,,
,Muvattupuzha,,,,,,,,,,,,,,,,
RSVR6006,Narakakkanam Diversion,,,,,,,,,,,,,,,,
RSVR5136,Neyyar,,IDRB,,,,,,,,,,,,,,
RSVR5149,Pamba,,KSEB,963.17,986.33,,981.45,986.33,,31,,984.5,983.5,983,,"Pamba,Pampa",
RSVR6001,Parambikulam,Chalakudy,,,557.35,72,,,504.66,379.67,,,,,21.95,,535.4044
RSVR5157,Pazhassi,,IDRB,,,,,,,,,,,,,,
RSVR5135,Peechi,,IDRB,,,,,,,,,,,,,,
RSVR5160,Peppara,,,,,,,,,,,,,,,,
RSVR5153,Peruvannamozhi,,IDRB,,,,,,,,,,,,,,
RSVR6002,Peruvaripallam,Chalakudy,,,539.5,,,,2.9,,,,,,,,
RSVR5140,Ponmudi,,KSEB,678.8,707.74,,701.04,708.66,,47.4,,706.5,705.5,,,Ponmudi,
RSVR5133,Poringalkuthu,Chalakudy,KSEB,405.69,423.98,,419.4,423.98,,30.36,,422,421,420,,Poringalkuthu,
RSVR5150,Pothundy,,,,,,,,,,,,,,,,
RSVR5129,Sengulam,,KSEB,844.86,847.6,,847.65,,,1.61,,,,,,,
RSVR5143,Sholayar[Kerala],Chalakudy,KSEB,779.374,811.68,,805.28,811.68,,149.23,,811.18,810.68,810.18,,Sholayar,
RSVR6005,Sholayar[TamilNadu],Chalakudy,TANGEDCO,,1004,160,,,152.7,142.89,,,,,48.77,,955.232
,Siruvani,,IDRB,,,,,,,,,,,,,,
RSVR6003,Thunacadavu,Chalakudy,,,539.5,,,,15.8,,,,,,,,
RSVR4699,Upper_Nirar,Chalakudy,,,,,,,,,,,,,,,
,Varahar_1,,,,,,,,,,,,,,,,
,Varahar_2,,,,,,,,,,,,,,,,
RSVR5132,Vazhani,,IDRB,,,,,,,,,,,,,,
