TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Inflow(m^3/s),Rainfall(mm),Spill(m^3/s)
2024-06-01,30.85,169.79,,270.48,6.0,
2024-06-02,31.0,169.79,,111.48,2.0,
2024-06-03,31.25,169.79,,297.58,14.0,
2024-06-04,31.1,169.79,,138.58,0.0,
2024-06-05,31.1,169.79,,111.48,42.0,
2024-06-06,31.15,169.79,,75.7,7.0,
2024-06-07,31.15,169.79,,75.73,12.0,
2024-06-08,31.2,169.79,,155.23,8.0,
2024-06-09,31.2,169.79,,447.93,28.0,
2024-06-10,31.0,169.79,,234.73,10.0,
2024-06-11,31.15,169.79,,234.73,0.0,
2024-06-12,31.05,169.79,,0.0,2.0,
2024-06-13,31.1,169.79,,234.73,0.0,
2024-06-14,31.0,169.79,,138.58,0.0,
2024-06-15,31.0,169.79,,297.58,6.0,
2024-06-16,31.1,169.79,,297.58,3.0,
2024-06-17,31.0,169.79,,138.58,0.0,
2024-06-18,31.15,169.79,,297.58,0.0,
2024-06-19,31.1,169.79,,404.18,4.0,
2024-06-20,30.95,169.79,,324.68,10.0,
2024-06-21,31.2,169.79,,292.88,5.0,
2024-06-22,31.2,169.79,,404.18,12.0,
2024-06-23,31.0,169.79,,696.88,31.0,
2024-06-24,31.2,169.79,,669.78,7.0,
2024-06-25,31.1,169.79,,531.38,8.0,
2024-06-26,31.4,169.79,,1877.98,92.0,
2024-06-27,29.7,169.79,,2139.48,26.0,
2024-06-28,28.0,169.79,,3048.25,1.0,
2024-06-29,27.9,169.79,,1632.68,4.0,
2024-06-30,28.05,169.79,,1740.0,4.0,
2024-07-01,27.85,169.79,,1596.91,7.0,
2024-07-02,27.8,169.79,,1561.13,1.0,
2024-07-03,27.1,169.79,,1060.3,13.0,
2024-07-04,28.3,169.79,,985.98,14.0,
2024-07-05,28.15,169.79,,985.98,30.0,
2024-07-06,28.15,169.79,,985.98,1.0,
2024-07-07,28.3,169.79,,449.63,16.0,
2024-07-08,29.2,169.79,,550.95,2.0,
2024-07-09,29.2,169.79,,375.28,5.0,
2024-07-10,28.95,169.79,,356.66,2.0,
2024-07-11,29.7,169.79,,412.51,0.0,
2024-07-12,29.75,169.79,,416.23,0.0,
2024-07-13,30.25,169.79,,669.15,2.0,
2024-07-14,29.8,169.79,,823.6,22.0,
2024-07-15,29.9,169.79,,1050.24,22.0,
2024-07-16,30.0,169.79,,3135.18,46.0,
2024-07-17,27.5,169.79,,1346.49,16.0,
2024-07-18,28.3,169.79,,1918.87,31.0,
2024-07-19,27.0,169.79,,988.75,6.0,
2024-07-20,26.75,169.79,,809.88,1.0,
2024-07-21,26.7,169.79,,774.11,0.0,
2024-07-22,26.3,169.79,,487.92,0.0,
2024-07-23,30.35,169.79,,1581.93,2.0,
2024-07-24,30.2,169.79,,1094.76,13.0,
2024-07-25,30.2,169.79,,869.1,16.0,
2024-07-26,30.35,169.79,,1348.56,11.0,
2024-07-27,30.05,169.79,,1268.52,3.0,
2024-07-28,30.05,169.79,,1082.54,24.0,
2024-07-29,30.2,169.79,,1114.85,53.0,
2024-07-30,31.7,169.79,,4351.49,147.0,
2024-07-31,27.7,169.79,,1489.59,2.0,
2024-08-01,27.4,169.79,,1632.68,7.0,
2024-08-02,27.0,169.79,,988.75,1.0,
2024-08-03,27.0,169.79,,988.75,1.0,
2024-08-04,30.15,169.79,,1161.23,17.0,
2024-08-05,27.1,169.79,,1060.3,2.0,
2024-08-06,27.1,169.79,,1060.3,4.0,
2024-08-07,26.7,169.79,,774.15,0.0,
2024-08-08,27.9,169.79,,1210.23,13.0,
2024-08-09,29.0,169.79,,2419.71,0.0,
2024-08-10,28.85,169.79,,2312.38,1.0,
2024-08-11,28.8,169.79,,604.36,3.0,
2024-08-12,29.0,169.79,,644.79,2.0,
2024-08-13,29.0,169.79,,1141.25,69.0,
2024-08-14,,,,,,
2024-08-15,28.75,169.79,,763.17,0.0,
2024-08-16,,,,,,
2024-08-17,28.6,169.79,,738.26,64.0,
2024-08-18,27.3,169.79,,907.42,4.0,
2024-08-19,27.3,169.79,,754.23,8.0,
2024-08-20,28.0,169.79,,834.18,1.0,
2024-08-21,28.0,169.79,,885.32,51.0,
2024-08-22,28.2,169.79,,980.88,2.0,
2024-08-23,28.0,169.79,,772.75,0.0,
2024-08-24,28.0,169.79,,784.17,0.0,
2024-08-25,29.2,169.79,,867.49,0.0,
2024-08-26,29.5,169.79,,932.1,0.0,
2024-08-27,29.55,169.79,,753.87,3.0,
2024-08-28,29.6,169.79,,953.64,0.0,
2024-08-29,31.7,169.79,,605.54,30.0,
2024-08-30,34.2,169.79,,4196.77,29.0,
2024-08-31,29.6,169.79,,1343.29,7.0,
2024-09-01,29.6,169.79,,1161.11,8.0,
2024-09-02,29.4,169.79,,1095.11,16.0,
2024-09-03,29.5,169.79,,1311.47,10.0,
2024-09-04,,,,,,
2024-09-05,,,,,,
2024-09-06,,,,,,
2024-09-07,,,,,,
2024-09-08,,,,,,
2024-09-09,,,,,,
2024-09-10,,,,,,
2024-09-11,,,,,,
2024-09-12,,,,,,
2024-09-13,,,,,,
2024-09-14,,,,,,
2024-09-15,,,,,,
2024-09-16,,,,,,
2024-09-17,,,,,,
2024-09-18,,,,,,
2024-09-19,,,,,,
2024-09-20,,,,,,
2024-09-21,,,,,,
2024-09-22,,,,,,
2024-09-23,,,,,,
2024-09-24,,,,,,
2024-09-25,,,,,,
2024-09-26,,,,,,
2024-09-27,,,,,,
2024-09-28,,,,,,
2024-09-29,,,,,,
2024-09-30,,,,,,
2024-10-01,,,,,,
2024-10-02,,,,,,
2024-10-03,,,,,,
2024-10-04,,,,,,
2024-10-05,,,,,,
2024-10-06,,,,,,
2024-10-07,,,,,,
2024-10-08,,,,,,
2024-10-09,,,,,,
2024-10-10,,,,,,
2024-10-11,,,,,,
2024-10-12,,,,,,
2024-10-13,,,,,,
2024-10-14,,,,,,
2024-10-15,,,,,,
2024-10-16,,,,,,
2024-10-17,,,,,,
