TimeStamp,Level(m),Storage(mcm),Storage_Percent(%),Spill(m^3/s),Inflow(m^3/s),Rainfall(mm)
2024-06-01,,,,,,
2024-06-02,,,,,,
2024-06-03,,,,,,
2024-06-04,,,,,,
2024-06-05,,,,,,
2024-06-06,,,,,,
2024-06-07,,,,,,
2024-06-08,,,,,,
2024-06-09,,,,,,
2024-06-10,,,,,,
2024-06-11,,,,,,
2024-06-12,,,,,,
2024-06-13,,,,,,
2024-06-14,,,,,,
2024-06-15,,,,,,
2024-06-16,,,,,,
2024-06-17,,,,,,
2024-06-18,,,,,,
2024-06-19,,,,,,
2024-06-20,,,,,,
2024-06-21,,,,,,
2024-06-22,,,,,,
2024-06-23,,,,,,
2024-06-24,,,,,,
2024-06-25,,,,,,
2024-06-26,,,,,,
2024-06-27,,,,,,
2024-06-28,,,,,,
2024-06-29,,,,,,
2024-06-30,,,,,,
2024-07-01,,,,,,
2024-07-02,,,,,,
2024-07-03,,,,,,
2024-07-04,,,,,,
2024-07-05,,,,,,
2024-07-06,,,,,,
2024-07-07,,,,,,
2024-07-08,,,,,,
2024-07-09,,,,,,
2024-07-10,,,,,,
2024-07-11,,,,,,
2024-07-12,,,,,,
2024-07-13,,,,,,
2024-07-14,,,,,,
2024-07-15,,,,,,
2024-07-16,,,,,,
2024-07-17,,,,,,
2024-07-18,,,,,,
2024-07-19,,,,,,
2024-07-20,,,,,,
2024-07-21,,,,,,
2024-07-22,,,,,,
2024-07-23,,,,,,
2024-07-24,,,,,,
2024-07-25,,,,,,
2024-07-26,,,,,,
2024-07-27,,,,,,
2024-07-28,,,,,,
2024-07-29,,,,,,
2024-07-30,,,,,,
2024-07-31,,,,,,
2024-08-01,190.7,0.899,77.5,9.82,44.27,10.0
2024-08-02,191.1,0.953,82.16,5.37,40.01,11.0
2024-08-03,191.4,0.994,85.69,5.54,40.14,6.0
2024-08-04,191.6,1.021,88.02,2.44,36.63,3.0
2024-08-05,189.2,0.704,60.69,0.74,30.0,0.0
2024-08-06,192.0,1.075,92.67,0.0,34.97,10.0
2024-08-07,192.2,1.105,95.26,0.0,35.04,0.0
2024-08-08,190.25,0.831,71.64,0.0,30.82,10.0
2024-08-09,191.6,1.021,88.02,0.0,36.3,1.0
2024-08-10,,,,,,
2024-08-11,189.35,0.721,62.16,0.0,31.73,16.0
2024-08-12,189.35,0.721,62.16,0.0,29.04,9.0
2024-08-13,190.25,0.831,71.64,0.0,32.22,42.0
2024-08-14,189.2,0.704,60.69,0.0,31.46,11.0
2024-08-15,189.7,0.761,65.6,0.0,33.78,8.0
2024-08-16,191.2,0.966,83.28,0.0,31.63,6.0
2024-08-17,191.5,1.007,86.81,1.25,35.93,145.0
2024-08-18,191.55,1.014,87.41,2.47,35.1,14.0
2024-08-19,187.7,0.539,46.47,1.74,27.2,15.0
2024-08-20,185.8,0.346,29.83,0.08,26.15,7.0
2024-08-21,190.3,0.839,72.33,5.19,37.04,94.0
2024-08-22,191.1,0.954,82.24,5.54,39.65,1.0
2024-08-23,190.15,0.817,70.43,2.75,35.47,0.0
2024-08-24,187.1,0.477,41.12,1.32,29.41,0.0
2024-08-25,,,,,,
2024-08-26,,,,,,
2024-08-27,,,,,,
2024-08-28,185.6,0.327,28.19,0.0,21.49,1.0
2024-08-29,186.85,0.451,38.88,0.0,24.33,9.0
2024-08-30,186.85,0.451,38.88,0.0,23.38,48.0
2024-08-31,186.1,0.375,32.33,0.0,26.02,32.0
2024-09-01,185.4,0.315,27.16,0.0,25.95,17.0
2024-09-02,186.7,0.435,37.5,0.0,28.04,12.0
2024-09-03,188.0,0.569,49.05,0.0,25.12,16.0
2024-09-04,188.45,0.617,53.19,0.0,29.39,43.0
2024-09-05,187.3,0.498,42.93,0.0,2.18,10.0
2024-09-06,187.25,0.493,42.5,0.0,21.83,3.0
2024-09-07,185.35,0.312,26.9,0.0,24.59,4.0
2024-09-08,186.8,0.446,38.45,0.0,25.66,2.0
2024-09-09,185.7,0.336,28.97,0.0,18.51,7.0
2024-09-10,186.25,0.39,33.62,0.0,24.12,32.0
2024-09-11,185.6,0.327,28.19,0.0,25.31,25.0
2024-09-12,186.0,0.365,31.47,0.0,23.48,7.0
2024-09-13,186.4,0.405,34.91,0.0,23.26,0.0
2024-09-14,186.7,0.435,37.5,0.0,23.45,2.0
2024-09-15,186.1,0.375,32.33,0.0,24.06,5.0
2024-09-16,185.7,0.336,28.97,0.0,16.96,0.0
2024-09-17,188.7,0.646,55.69,0.0,24.13,0.0
2024-09-18,188.3,0.601,51.81,0.0,26.13,0.0
2024-09-19,186.8,0.446,38.45,0.0,29.2,0.0
2024-09-20,187.1,0.477,41.12,0.0,27.01,0.0
2024-09-21,187.9,0.559,48.19,0.0,29.18,0.0
2024-09-22,186.9,0.457,39.4,0.0,26.04,0.0
2024-09-23,187.6,0.529,45.6,0.0,24.55,24.0
2024-09-24,187.6,0.529,45.6,0.0,28.93,4.0
2024-09-25,187.25,0.493,42.5,0.0,26.82,2.0
2024-09-26,185.65,0.332,28.62,0.0,24.22,10.0
2024-09-27,188.1,0.58,50.0,0.0,29.63,1.0
2024-09-28,189.5,0.738,63.62,0.0,24.59,9.0
2024-09-29,188.35,0.606,52.24,0.0,21.39,10.0
