Station_ID,Station_Name,District,Basin,River,Division,URL,Zero_Gauge_Level(m),Warning_Level(m),Danger_Level(m),Highest_Flood_Level(m),HFL_Date,Geometry
CWCRV0001,Adkasthala,KASARAGOD,West flowing rivers from Tadri to Kanyakumari,Shiriya,"Southern Western River Division(SWRD), Kochi",/main/station-detail/041cdbng,35.245,43.745,44.745,46.745,2020-07-16,
CWCRV0002,Arangali,THRISSUR,West flowing rivers from Tadri to Kanyakumari,Chalakudy,"Southern Western River Division(SWRD), Kochi",/main/station-detail/011-SWRDKOCHI,-2,7.1,8.1,10.58,2018-08-16,POINT Z (76.32405382687723 10.28651334494573 0)
CWCRV0003,Arkannur,Kollam,West flowing rivers from Tadri to Kanyakumari,Ithikkara,"Southern Western River Division(SWRD), Kochi",/main/station-detail/036-SWRDKOCHI,20,27,28,28.15,2021-10-12,POINT Z (76.84616219184664 8.875204224943738 0)
CWCRV0004,Aruvipuram,THIRUVANANTHAPURAM,West flowing rivers from Tadri to Kanyakumari,Neyyar,"Southern Western River Division(SWRD), Kochi",/main/station-detail/037-SWRDKOCHI,1,6.5,8,12.39,2018-08-15,POINT Z (77.09268310915552 8.420727968684286 0)
CWCRV0005,Ayilam,THIRUVANANTHAPURAM,West flowing rivers from Tadri to Kanyakumari,Vamanapuram,"Southern Western River Division(SWRD), Kochi",/main/station-detail/021-SWRDKOCHI,0,6,8.5,10.685,1992-10-10,POINT Z (76.84228440615207 8.704331276588345 0)
CWCRV0006,,MALAPPURAM,West flowing rivers from Tadri to Kanyakumari,Kudhirapuzha,"Southern Western River Division(SWRD), Kochi",/main/station-detail/024-SWRDKOCHI,10,17.9,18.9,20.315,2019-08-09,
CWCRV0007,Erinjipuzha,KASARAGOD,West flowing rivers from Tadri to Kanyakumari,Payaswani,"Southern Western River Division(SWRD), Kochi",/main/station-detail/001-SWRDKOCHI,9.1,18.03,19.03,19.08,1995-07-12,POINT Z (75.14784044572767 12.47898610441669 0)
CWCRV0008,,ERNAKULAM,West flowing rivers from Tadri to Kanyakumari,Periyar,"Southern Western River Division(SWRD), Kochi",/main/station-detail/0025-SWRDKOCHI,0,169,,,,
CWCRV0009,,IDUKKI,West flowing rivers from Tadri to Kanyakumari,Periyar,"Southern Western River Division(SWRD), Kochi",/main/station-detail/0024-SWRDKOCHI,0,732.43,,,,
CWCRV0010,Kalampur,ERNAKULAM,West flowing rivers from Tapi to Tadri,Kaliyar,"Southern Western River Division(SWRD), Kochi",/main/station-detail/013-SWRDKOCHI,5,12.64,13.64,17.47,2018-08-16,POINT Z (76.63066579691288 9.991161655728206 0)
CWCRV0011,Kalathukadavu,KOTTAYAM,West flowing rivers from Tapi to Tadri,Meenachil,"Southern Western River Division(SWRD), Kochi",/main/station-detail/028-SWRDKOCHI,22,24.8,25.8,26.3,2020-08-07,POINT Z (76.77840215332577 9.719528673359944 0)
CWCRV0012,Kallooppara,PATHANAMTHITTA,West flowing rivers from Tadri to Kanyakumari,Manimala,"Southern Western River Division(SWRD), Kochi",/main/station-detail/017-SWRDKOCHI,0,5,6,9.64,2018-08-16,POINT Z (76.65 9.403 0)
